id,sparql,pattern_type,complexity
q50,SELECT ?target WHERE { ns1:linear_algebra ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q51,SELECT ?target WHERE { ?target ns1:has_research_group ns1:reliable_software_engineering . },1_prop_subject_target,basic
q52,SELECT ?target WHERE { ?target ns1:has_course_category ns1:study_program_mandatory_course . },1_prop_subject_target,basic
q53,SELECT ?target WHERE { ns1:functional_programming ns1:has_prerequisite_course ?target . ?target ns1:has_course_category ns1:faculty_mandatory_course . },2_prop_middle_target_v1,intermediate
q54,SELECT ?target WHERE { ?target ns1:has_research_group ns1:digital_library_and_distance_learning_laboratory . },1_prop_subject_target,basic
q55,SELECT ?target WHERE { ?hidden ns1:has_minimum_credits ?target . ?hidden ns1:has_research_group ns1:computer_system_laboratory . },2_prop_branching_v4,intermediate
q56,SELECT ?target WHERE { ns1:compiler_techniques ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q57,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ?hidden . ?hidden ns1:has_course_category ns1:study_program_mandatory_course . },2_prop_branching_v1,intermediate
q58,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:programming_basics_1 . },1_prop_subject_target,basic
q59,SELECT ?target WHERE { ns1:natural_language_processing ns1:has_research_group ?target . },1_prop_object_target,basic
q60,SELECT ?target WHERE { ?hidden ns1:also_known_as ?target . ?hidden ns1:has_prerequisite_course ns1:linear_algebra . },2_prop_branching_v4,intermediate
q61,SELECT ?target WHERE { ?hidden ns1:has_course_category ?target . ?hidden ns1:has_evaluation_method ns1:presentation . },2_prop_branching_v4,intermediate
q62,SELECT ?target WHERE { ?target ns1:has_research_group ns1:digital_library_and_distance_learning_laboratory . },1_prop_subject_target,basic
q63,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ?hidden ns1:has_course_category ns1:study_program_elective_course . },2_prop_branching_v4,intermediate
q64,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:discrete_mathematics_1 . },1_prop_subject_target,basic
q65,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_course_category ns1:university_mandatory_course . },2_prop_branching_v4,intermediate
q66,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:operating_system . },1_prop_subject_target,basic
q67,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_evaluation_method ns1:task . },2_prop_branching_v4,intermediate
q68,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ns1:software_engineering ns1:has_prerequisite_course ?hidden . },2_prop_branching_v2,intermediate
q69,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ?hidden . ?hidden ns1:has_evaluation_method ns1:test . },2_prop_branching_v1,intermediate
q70,SELECT ?target WHERE { ns1:deep_learning ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q71,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:operating_system . },1_prop_subject_target,basic
q72,SELECT ?target WHERE { ns1:parallel_programming ns1:has_course_category ?target . },1_prop_object_target,basic
q73,SELECT ?target WHERE { ?hidden ns1:has_course_category ns1:study_program_elective_course . ?hidden ns1:has_research_group ns1:computer_system_laboratory . ?hidden ns1:has_course_code ?target . },3_prop_star_v1,advanced
q74,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:lab_assignment . },1_prop_subject_target,basic
q75,SELECT ?target WHERE { ?target ns1:has_research_group ns1:center_for_cyber_security_and_cryptography . },1_prop_subject_target,basic
q76,SELECT ?target WHERE { ?target ns1:has_course_category ns1:study_program_mandatory_course . },1_prop_subject_target,basic
q77,SELECT ?target WHERE { ?target ns1:has_research_group ns1:center_for_cyber_security_and_cryptography . },1_prop_subject_target,basic
q78,SELECT ?target WHERE { ?target ns1:has_course_category ns1:study_program_mandatory_course . },1_prop_subject_target,basic
q79,SELECT ?target WHERE { ?hidden ns1:has_course_category ?target . ?hidden ns1:has_prerequisite_course ns1:discrete_mathematics_1 . },2_prop_branching_v4,intermediate
q80,SELECT ?target WHERE { ?hidden ns1:has_course_category ns1:faculty_mandatory_course . ns1:calculus_2 ns1:has_prerequisite_course ?hidden . ?hidden ns1:also_known_as ?target . },3_prop_star_v3,advanced
q81,SELECT ?target WHERE { ns1:information_retrieval ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q82,SELECT ?target WHERE { ns1:cloud_computing ns1:has_research_group ?target . },1_prop_object_target,basic
q83,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ?hidden ns1:has_prerequisite_course ns1:operating_system . },2_prop_branching_v4,intermediate
q84,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ?target . ?hidden ns1:has_evaluation_method ns1:test . },2_prop_branching_v4,intermediate
q85,SELECT ?target WHERE { ?hidden ns1:has_course_category ?target . ?hidden ns1:has_prerequisite_course ns1:database . },2_prop_branching_v4,intermediate
q86,SELECT ?target WHERE { ?target ns1:has_research_group ns1:information_retrieval_and_natural_language_processing . },1_prop_subject_target,basic
q87,SELECT ?target WHERE { ns1:information_retrieval ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q88,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ?hidden ns1:has_research_group ns1:information_retrieval_and_natural_language_processing . },2_prop_branching_v4,intermediate
q89,SELECT ?target WHERE { ns1:system_administration ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q90,SELECT ?target WHERE { ?target ns1:has_research_group ns1:reliable_software_engineering . },1_prop_subject_target,basic
q91,SELECT ?target WHERE { ?hidden ns1:has_credits ?target . ?hidden ns1:has_research_group ns1:digital_library_and_distance_learning_laboratory . },2_prop_branching_v4,intermediate
q92,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_prerequisite_course ns1:language_theory_and_automata . },2_prop_branching_v4,intermediate
q93,SELECT ?target WHERE { ns1:system_administration ns1:has_course_category ?target . },1_prop_object_target,basic
q94,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ?hidden ns1:has_research_group ns1:information_retrieval_and_natural_language_processing . },2_prop_branching_v4,intermediate
q95,SELECT ?target WHERE { ns1:cloud_computing ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q96,SELECT ?target WHERE { ?target ns1:has_course_category ns1:study_program_elective_course . },1_prop_subject_target,basic
q97,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ns1:language_theory_and_automata ns1:has_prerequisite_course ?hidden . },2_prop_branching_v2,intermediate
q98,SELECT ?target WHERE { ?hidden ns1:has_credits ?target . ?hidden ns1:has_prerequisite_course ns1:introduction_to_computer_organization . },2_prop_branching_v4,intermediate
q99,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_prerequisite_course ns1:research_methodology_and_scientific_writing . },2_prop_branching_v4,intermediate
q100,SELECT ?target WHERE { ?hidden ns1:has_research_group ?target . ?hidden ns1:has_evaluation_method ns1:group_presentation . },2_prop_branching_v4,intermediate
q101,SELECT ?target WHERE { ns1:final_project_group_assignment ns1:has_course_category ?target . },1_prop_object_target,basic
q102,SELECT ?target WHERE { ns1:system_administration ns1:has_course_category ?target . },1_prop_object_target,basic
q103,SELECT ?target WHERE { ?target ns1:has_research_group ns1:machine_learning_and_computer_vision . },1_prop_subject_target,basic
q104,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ns1:operating_system . ?hidden ns1:has_evaluation_method ns1:task . ?hidden ns1:also_known_as ?target . },3_prop_star_v1,advanced
q105,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_prerequisite_course ns1:language_theory_and_automata . },2_prop_branching_v4,intermediate
q106,SELECT ?target WHERE { ?hidden ns1:has_course_category ?target . ?hidden ns1:has_evaluation_method ns1:final_project . },2_prop_branching_v4,intermediate
q107,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ?target . ?hidden ns1:has_course_category ns1:study_program_mandatory_course . },2_prop_branching_v4,intermediate
q108,SELECT ?target WHERE { ns1:linear_algebra ns1:has_course_category ?target . },1_prop_object_target,basic
q109,SELECT ?target WHERE { ns1:english ns1:has_course_category ?target . },1_prop_object_target,basic
q110,SELECT ?target WHERE { ns1:computer_assisted_teaching ns1:has_research_group ?target . },1_prop_object_target,basic
q111,SELECT ?target WHERE { ?hidden ns1:has_course_category ?target . ?hidden ns1:has_prerequisite_course ns1:linear_algebra . },2_prop_branching_v4,intermediate
q112,SELECT ?target WHERE { ?target ns1:has_research_group ns1:information_retrieval_and_natural_language_processing . },1_prop_subject_target,basic
q113,SELECT ?target WHERE { ns1:system_administration ns1:has_research_group ?target . },1_prop_object_target,basic
q114,SELECT ?target WHERE { ns1:software_product_line_engineering ns1:has_research_group ?target . },1_prop_object_target,basic
q115,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:practicum . },1_prop_subject_target,basic
q116,SELECT ?target WHERE { ns1:spoken_language_processing ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q117,SELECT ?target WHERE { ns1:religion ns1:has_course_category ?target . },1_prop_object_target,basic
q118,SELECT ?target WHERE { ns1:introduction_to_digital_systems ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q119,SELECT ?target WHERE { ns1:research_methodology_and_scientific_writing ns1:has_course_category ?target . },1_prop_object_target,basic
q120,SELECT ?target WHERE { ?hidden ns1:also_known_as ?target . ns1:language_theory_and_automata ns1:has_prerequisite_course ?hidden . },2_prop_branching_v2,intermediate
q121,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ?hidden ns1:has_course_category ns1:study_program_mandatory_course . },2_prop_branching_v4,intermediate
q122,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_evaluation_method ns1:presentation_or_demo_of_project_assignments . },2_prop_branching_v4,intermediate
q123,SELECT ?target WHERE { ?hidden ns1:has_minimum_credits ?target . ?hidden ns1:has_research_group ns1:computer_system_laboratory . },2_prop_branching_v4,intermediate
q124,SELECT ?target WHERE { ?hidden ns1:also_known_as ?target . ?hidden ns1:has_prerequisite_course ns1:language_theory_and_automata . },2_prop_branching_v4,intermediate
q125,SELECT ?target WHERE { ?target ns1:has_research_group ns1:information_retrieval_and_natural_language_processing . },1_prop_subject_target,basic
q126,SELECT ?target WHERE { ns1:algorithm_design_and_analysis ns1:has_course_category ?target . },1_prop_object_target,basic
q127,SELECT ?target WHERE { ?target ns1:has_course_category ns1:faculty_mandatory_course . },1_prop_subject_target,basic
q128,SELECT ?target WHERE { ?target ns1:has_course_category ns1:faculty_mandatory_course . },1_prop_subject_target,basic
q129,SELECT ?target WHERE { ns1:introduction_to_artificial_intelligence_and_data_science ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q130,SELECT ?target WHERE { ns1:information_retrieval ns1:has_research_group ?target . },1_prop_object_target,basic
q131,SELECT ?target WHERE { ?hidden ns1:has_course_category ns1:faculty_mandatory_course . ns1:computer_network ns1:has_prerequisite_course ?hidden . ?hidden ns1:has_evaluation_method ?target . },3_prop_star_v3,advanced
q132,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_prerequisite_course ns1:software_engineering . },2_prop_branching_v4,intermediate
q133,SELECT ?target WHERE { ns1:embedded_systems ns1:has_research_group ?target . },1_prop_object_target,basic
q134,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:report_document . },1_prop_subject_target,basic
q135,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_course_category ns1:faculty_mandatory_course . },2_prop_branching_v4,intermediate
q136,SELECT ?target WHERE { ?hidden ns1:has_course_category ?target . ns1:database ns1:has_prerequisite_course ?hidden . },2_prop_branching_v2,intermediate
q137,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ns1:introduction_to_artificial_intelligence_and_data_science . ?hidden ns1:has_research_group ns1:information_retrieval_and_natural_language_processing . ?hidden ns1:has_evaluation_method ?target . },3_prop_star_v1,advanced
q138,SELECT ?target WHERE { ?hidden ns1:has_course_category ?target . ?hidden ns1:has_research_group ns1:reliable_software_engineering . },2_prop_branching_v4,intermediate
q139,SELECT ?target WHERE { ns1:ethical_hacking ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q140,SELECT ?target WHERE { ns1:game_development ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q141,SELECT ?target WHERE { ?hidden ns1:has_course_category ?target . ?hidden ns1:has_research_group ns1:reliable_software_engineering . },2_prop_branching_v4,intermediate
q142,SELECT ?target WHERE { ?target ns1:has_course_category ns1:study_program_mandatory_course . },1_prop_subject_target,basic
q143,SELECT ?target WHERE { ns1:deep_learning ns1:has_course_category ?target . },1_prop_object_target,basic
q144,SELECT ?target WHERE { ns1:operating_system ns1:has_prerequisite_course ?hidden . ?hidden ns1:has_evaluation_method ns1:task . ?hidden ns1:also_known_as ?target . },3_prop_star_v2,advanced
q145,SELECT ?target WHERE { ?hidden ns1:has_course_category ?target . ?hidden ns1:has_research_group ns1:intelligent_systems_and_robotics . },2_prop_branching_v4,intermediate
q146,SELECT ?target WHERE { ns1:data_mining ns1:has_course_category ?target . },1_prop_object_target,basic
q147,SELECT ?target WHERE { ns1:introduction_to_computer_organization ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q148,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:programming_basics_2 . },1_prop_subject_target,basic
q149,SELECT ?target WHERE { ?target ns1:has_research_group ns1:intelligent_systems_and_robotics . },1_prop_subject_target,basic
q150,SELECT ?target WHERE { ns1:knowledge_representation_and_reasoning ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q151,SELECT ?target WHERE { ns1:cryptography_and_information_security ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q152,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ?target . ?hidden ns1:has_evaluation_method ns1:report_document . },2_prop_branching_v4,intermediate
q153,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:language_theory_and_automata . },1_prop_subject_target,basic
q154,SELECT ?target WHERE { ?hidden ns1:has_credits ?target . ?hidden ns1:has_research_group ns1:machine_learning_and_computer_vision . },2_prop_branching_v4,intermediate
q155,SELECT ?target WHERE { ns1:cloud_computing ns1:has_research_group ?target . },1_prop_object_target,basic
q156,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:group_task . },1_prop_subject_target,basic
q157,SELECT ?target WHERE { ns1:distributed_systems ns1:has_research_group ?target . },1_prop_object_target,basic
q158,SELECT ?target WHERE { ?target ns1:has_course_category ns1:study_program_mandatory_course . },1_prop_subject_target,basic
q159,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:programming_projects . },1_prop_subject_target,basic
q160,SELECT ?target WHERE { ?hidden ns1:has_course_category ns1:study_program_elective_course . ?hidden ns1:has_research_group ns1:computer_system_laboratory . ?hidden ns1:has_credits ?target . },3_prop_star_v1,advanced
q161,SELECT ?target WHERE { ns1:robotics ns1:has_prerequisite_course ?target . ?target ns1:has_evaluation_method ns1:group_project . },2_prop_middle_target_v1,intermediate
q162,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:programming_projects_and_demos . },1_prop_subject_target,basic
q163,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:projects_and_presentations . },1_prop_subject_target,basic
q164,SELECT ?target WHERE { ?hidden ns1:has_research_group ns1:reliable_software_engineering . ?hidden ns1:has_course_category ns1:study_program_elective_course . ?hidden ns1:has_course_code ?target . },3_prop_star_v1,advanced
q165,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:data_structures_and_algorithms . },1_prop_subject_target,basic
q166,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:discrete_mathematics_1 . },1_prop_subject_target,basic
q167,SELECT ?target WHERE { ns1:linear_algebra ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q168,SELECT ?target WHERE { ns1:advanced_programming ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q169,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:individual_review . },1_prop_subject_target,basic
q170,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ns1:discrete_mathematics_1 . ?hidden ns1:has_research_group ns1:center_for_cyber_security_and_cryptography . ?hidden ns1:has_credits ?target . },3_prop_star_v1,advanced
q171,SELECT ?target WHERE { ?hidden ns1:also_known_as ?target . ?hidden ns1:has_research_group ns1:machine_learning_and_computer_vision . },2_prop_branching_v4,intermediate
